7872	26368	598	598	2	0.998679
8128	26368	598	598	2	0.997255
7616	26432	598	598	2	0.995627
7872	26624	598	598	2	0.994566
8128	26624	598	598	2	0.990362
7936	26112	598	598	2	0.988572
7616	26688	598	598	2	0.987868
8384	26496	598	598	2	0.986162
7360	26432	598	598	2	0.986819
7616	26176	598	598	2	0.975427
8192	26112	598	598	2	0.975257
7872	26880	598	598	2	0.957651
8384	26752	598	598	2	0.938773
7360	26688	598	598	2	0.946961
8128	26880	598	598	2	0.938346
8448	26240	598	598	2	0.937909
9984	26880	598	598	2	0.929231
7296	26688	598	598	2	0.923566
15232	27328	598	598	2	0.891786
7360	26176	598	598	2	0.898400
10240	26880	598	598	2	0.879824
8640	26560	598	598	2	0.901272
15488	27392	598	598	2	0.859240
15104	27008	598	598	2	0.894975
7680	25920	598	598	2	0.857861
7104	26432	598	598	2	0.867737
7616	26944	598	598	2	0.863407
15744	26688	598	598	2	0.872838
16384	28864	598	598	2	0.839577
15104	26752	598	598	2	0.823276
15232	27584	598	598	2	0.837726
9728	26880	598	598	2	0.799334
8640	26816	598	598	2	0.824408
15744	26752	598	598	2	0.843012
7936	25856	598	598	2	0.785692
11136	26496	598	598	2	0.770666
9984	27136	598	598	2	0.785532
7616	34432	598	598	2	0.814270
10496	26688	598	598	2	0.758877
7552	26944	598	598	2	0.802889
14080	27328	598	598	2	0.780055
15360	27072	598	598	2	0.679202
10240	26624	598	598	2	0.749139
10880	26560	598	598	2	0.725502
15616	27648	598	598	2	0.716126
9984	26624	598	598	2	0.771906
8192	25856	598	598	2	0.703145
16000	26688	598	598	2	0.741699
15744	27392	598	598	2	0.715472
10240	27136	598	598	2	0.739823
14080	26944	598	598	2	0.746966
11712	28736	598	598	2	0.752614
15360	26688	598	598	2	0.724846
9216	35392	598	598	2	0.760874
15808	26496	598	598	2	0.728876
10496	26944	598	598	2	0.663546
15680	27008	598	598	2	0.737674
14144	26944	598	598	2	0.733325
15360	26752	598	598	2	0.681990
15744	26496	598	598	2	0.660249
15360	26816	598	598	2	0.667214
14976	27264	598	598	2	0.700564
16000	26624	598	598	2	0.682395
12416	3008	598	598	2	0.765059
16320	29120	598	598	2	0.707543
9728	25280	598	598	2	0.680317
7104	26176	598	598	2	0.671167
7488	26944	598	598	2	0.697220
13824	27328	598	598	2	0.717880
11968	28800	598	598	2	0.686573
7680	35776	598	598	2	0.719396
15872	27648	598	598	2	0.629842
9728	27136	598	598	2	0.608513
7616	34176	598	598	2	0.719578
15744	26432	598	598	2	0.617560
13824	27392	598	598	2	0.673651
14144	26688	598	598	2	0.631521
13824	27264	598	598	2	0.653302
15680	26496	598	598	2	0.766570
7040	6912	598	598	2	0.656865
8384	27008	598	598	2	0.666169
6976	24768	598	598	2	0.654145
7424	33408	598	598	2	0.678874
7424	33344	598	598	2	0.685221
11136	26240	598	598	2	0.573173
14208	26688	598	598	2	0.616161
14080	27584	598	598	2	0.630362
14080	26688	598	598	2	0.593549
6976	24704	598	598	2	0.682372
10752	26816	598	598	2	0.550516
11072	26240	598	598	2	0.571028
7488	33344	598	598	2	0.650475
8704	26304	598	598	2	0.602439
6976	24832	598	598	2	0.599231
7040	24768	598	598	2	0.559927
14848	26688	598	598	2	0.589292
7040	24704	598	598	2	0.585066
14848	26624	598	598	2	0.612203
10368	34624	598	598	2	0.572865
